number,title,spacy_model,all_MiniLM_L12,paraphrase_distilroberta,msmarco_distilroberta,quora_distilbert,zero_shot
83936,[v10.3.x] chore: bump Go to 1.21.8,,,,,0.28890591859817505,
83750,[v10.3.x] LDAP: Fix LDAP users authenticated via auth proxy not being able to use LDAP active sync,,,,,0.28679782152175903,
83052,[v10.3.x] Update `make docs` procedure,,,,,0.28113222122192383,
82537,[v10.3.x] Chore: Remove grafana-delivery references,,,,,0.27901017665863037,
82356,[v10.3.x] Update `make docs` procedure,,,,,0.27828630805015564,
83553,[v10.3.x] Docs: Add missing visualizations to Grafana vizualization index page,,,,,0.265857994556427,
82320,[v10.3.x] [DOC] Update Pyroscope data source,,,,,0.25961098074913025,
82902,[v10.3.x] LibraryPanels/RBAC: Fix issue where folder scopes weren't being correctly inherited,,,,,0.2572926878929138,
83596,[v10.3.x] Elasticsearch: Fix adhoc filters not applied in frontend mode,,,,,0.2484346628189087,
82350,[v10.3.x] Alerting docs: update `<GRAFANA VERSION>` to `<GRAFANA_VERSION>`,,,,,0.24552156031131744,
83722,[v10.3.x] CI: Bump `alpine` image version,,,,,0.24375855922698975,
83141,Alerting docs: Fix migrating alert links,,,,,0.24306251108646393,
81929,[v10.3.x] Elasticsearch: Set middlewares from Grafana's `httpClientProvider`,,,,,0.23718854784965515,
82402,Release: Bump version to 10.3.4,,,,,0.2314518541097641,
82221,Alerting docs: `Provision alerting resources` updates,,,,,0.207986980676651,
82259,[v10.3.x] LibraryPanels: Fix issue with repeated library panels,,,,,0.20520028471946716,
82055,[v10.3.x] Alerting docs: changes alerting rules to alert rules,,,,,0.19084826111793518,
82400,[v10.3.x] Changelog: Updated changelog for 10.3.3,,,,,0.17843769490718842,
83525,[v10.3.x] Dashboards: Fixes issue where panels would not refresh if time range updated while in panel view mode,,,,,0.17147508263587952,
81809,[v10.3.x] Docs: Restructure configure thresholds docs,,,,,0.1603897660970688,
83105,[v10.3.x] Docs: add information about filtering for annotations,,,,,0.1567096710205078,
83142,[v10.3.x] Alerting docs: fixes oncall broken links,,,,,0.15555164217948914,
